@_fa,prism:url,dc:title,dc:creator,prism:publicationName,prism:coverDate,prism:doi
true,https://api.elsevier.com/content/article/pii/S1053249822020277,Left ventricular assist device implantation via lateral thoracotomy: A systematic review and meta-analysis,Roberto V. P. Ribeiro,The Journal of Heart and Lung Transplantation,2022-10-31,10.1016/j.healun.2022.07.006
true,https://api.elsevier.com/content/article/pii/S2451943X25001073,Prevalence and associated factors of schistosomiasis among domestic ruminants in Ethiopia: a systematic review and meta-analysis,Yihenew Getahun Ambaw,Veterinary and Animal Science,2025-10-28,10.1016/j.vas.2025.100535
true,https://api.elsevier.com/content/article/pii/S2405650225000449,Meta meta-analysis of cardiovascular risk factors in Alzheimer's disease,Olalla Saiz-Vazquez,eNeurologicalSci,2025-12-31,10.1016/j.ensci.2025.100590
true,https://api.elsevier.com/content/article/pii/S0149763425004403,Neuroimaging abnormalities in functional/dissociative seizures: a meta-analysis,Maryam Homayoun,Neuroscience & Biobehavioral Reviews,2025-10-30,10.1016/j.neubiorev.2025.106439
true,https://api.elsevier.com/content/article/pii/S1878875025008757,Efficacy and Safety of Dual Microcatheter Interventional Embolization for Intracranial Aneurysms: A Systematic Review and Meta-analysis,Wei Feng,World Neurosurgery,2025-10-10,10.1016/j.wneu.2025.124517
true,https://api.elsevier.com/content/article/pii/S0895435615002681,"How individual participant data meta-analyses have influenced trial design, conduct, and analysis",Jayne F. Tierney,Journal of Clinical Epidemiology,2015-11-30,10.1016/j.jclinepi.2015.05.024
true,https://api.elsevier.com/content/article/pii/S0047235225001850,Is it all relative? Proposing the use of marginal effects for meta-analysis of binary outcomes in criminology and criminal justice,Kevin Petersen,Journal of Criminal Justice,2025-12-31,10.1016/j.jcrimjus.2025.102536
true,https://api.elsevier.com/content/article/pii/S0026049525002914,Metabolomics analysis of diabetic kidney disease for discovering early diagnostic biomarkers: A systematic review and meta-analysis of prospective studies,Zahra Ramazani,Metabolism,2025-10-24,10.1016/j.metabol.2025.156422
true,https://api.elsevier.com/content/article/pii/S2666142X25001390,Health and health related outcomes of Chinese adult surgical patients managed by a nurse-led discharge service: A meta-analysis,Mei Lin,International Journal of Nursing Studies Advances,2025-12-31,10.1016/j.ijnsa.2025.100434
true,https://api.elsevier.com/content/article/pii/S0165032725019585,Gait speed and incident depression: A systematic review and meta-analysis,Maria Eduarda A. Guimarães,Journal of Affective Disorders,2025-10-23,10.1016/j.jad.2025.120516
true,https://api.elsevier.com/content/article/pii/S2772963X25006714,Direct Oral Anticoagulants or Warfarin for Left Ventricular Thrombus: A Meta-Analysis of Randomized Clinical Trials,David Koeckerling,JACC: Advances,2025-11-30,10.1016/j.jacadv.2025.102243
true,https://api.elsevier.com/content/article/pii/S2589537025004626,Effect of sleep apnoea interventions on multiple health outcomes: an umbrella review of meta-analyses of randomised controlled trials,Camille Figard,eClinicalMedicine,2025-11-30,10.1016/j.eclinm.2025.103529
true,https://api.elsevier.com/content/article/pii/S0007091225006026,Effect of neuromuscular blocking agents on tracheal intubation quality in paediatric patients: a systematic review using network meta-analysis and meta-regression,Luc E. Vanlinthout,British Journal of Anaesthesia,2025-10-10,10.1016/j.bja.2025.08.036
true,https://api.elsevier.com/content/article/pii/S2950253525000784,Proportion of eyes with visual-acuity improvement after vitrectomy for post-traumatic endophthalmitis: A meta-analysis,Muhammad Alfatih,AJO International,2025-12-11,10.1016/j.ajoint.2025.100174
true,https://api.elsevier.com/content/article/pii/S1877065725000946,Comparative effects of social participation interventions for stroke survivors: a network meta-analysis using a social ecological model,Huijing Zhang,Annals of Physical and Rehabilitation Medicine,2026-02-28,10.1016/j.rehab.2025.102029
true,https://api.elsevier.com/content/article/pii/S0377840125003098,"Meta-analysis of <ce:italic>in vitro</ce:italic> studies on the effects of rumen-protected oils on rumen fermentation products, methane mitigation, microbial populations, and feed digestibility",Hajrian Rizqi Albarki,Animal Feed Science and Technology,2025-11-30,10.1016/j.anifeedsci.2025.116514
true,https://api.elsevier.com/content/article/pii/S1871403X25001188,An exercise program to reduce abdominal visceral and subcutaneous fat in adults with overweight and obesity: A systematic review and meta-analysis of randomized controlled trials,Yutaka Igarashi,Obesity Research & Clinical Practice,2025-10-17,10.1016/j.orcp.2025.10.004
true,https://api.elsevier.com/content/article/pii/S0149763425003434,Systematic mapping and bibliometric analysis of meta-analyses on animal cognition,Ayumi Mizuno,Neuroscience & Biobehavioral Reviews,2025-10-31,10.1016/j.neubiorev.2025.106342
true,https://api.elsevier.com/content/article/pii/S2772930325014553,Published Evidence on Peripheral Atherectomy: A Meta-analysis and Systematic Literature Review of More Than 300 Original Investigations,Jeffrey G. Carr,Journal of the Society for Cardiovascular Angiography & Interventions,2025-10-21,10.1016/j.jscai.2025.104009
true,https://api.elsevier.com/content/article/pii/S0163834325001847,"Global estimates of natural, unnatural, and all-cause mortality in patients with personality disorders: A meta-analysis of longitudinal studies and meta-regression of potential moderators in a sample of 34 million people",Saeid Komasi,General Hospital Psychiatry,2025-12-31,10.1016/j.genhosppsych.2025.09.005
true,https://api.elsevier.com/content/article/pii/S0022399925003939,Web-based interventions for cancer-related fatigue: A systematic review and meta-analysis,Gie-Ok Noh,Journal of Psychosomatic Research,2025-10-27,10.1016/j.jpsychores.2025.112429
true,https://api.elsevier.com/content/article/pii/S0165032725019573,Delay discounting in emotional disorders: A three-level meta-analysis,Qianying Li,Journal of Affective Disorders,2025-10-28,10.1016/j.jad.2025.120515
true,https://api.elsevier.com/content/article/pii/S0748798325009588,"Locoregional treatment of esophageal oligometastatic disease to the liver: single center experience, a systematic review and meta-analysis.",Giulia Nezi,European Journal of Surgical Oncology,2025-10-24,10.1016/j.ejso.2025.110530
true,https://api.elsevier.com/content/article/pii/S0376871625003941,Effectiveness of Psychological Interventions for Smoking Cessation Among Incarcerated Population: A Systematic Review and Meta-Analysis,Mélanie Rome,Drug and Alcohol Dependence,2025-10-30,10.1016/j.drugalcdep.2025.112941
true,https://api.elsevier.com/content/article/pii/S2212440325012672,The effectiveness of virtual reality in relieving anxiety and pain for adult oral surgical procedures patients: A systematic review and meta-analysis,Xu Liu,"Oral Surgery, Oral Medicine, Oral Pathology and Oral Radiology",2025-10-16,10.1016/j.oooo.2025.10.002
true,https://api.elsevier.com/content/article/pii/S1015958425027472,Prevalence and risk factors of sarcopenia in patients after kidney transplantation: An updated systematic review and meta-analysis,Yu-Chi Su,Asian Journal of Surgery,2025-10-29,10.1016/j.asjsur.2025.09.040
true,https://api.elsevier.com/content/article/pii/S2211949325000286,Task-Dependent Neural Effects of Physical Exercise: A Systematic Review and Meta-Analysis of Functional Magnetic Resonance Imaging Studies,Geng Li,Trends in Neuroscience and Education,2025-10-30,10.1016/j.tine.2025.100274
