@_fa,prism:url,dc:title,dc:creator,prism:publicationName,prism:coverDate,prism:doi,policy_citation_count,news_mentions
true,https://api.elsevier.com/content/abstract/scopus_id/105015201467,Comparison of regional anesthesia and general anesthesia on clinical outcomes of upper extremity fracture patients: A systematic review and meta-analysis,Purnamasari Y.,Journal of Medicinal and Pharmaceutical Chemistry Research,2026-04-01,10.48309/jmpcr.2026.526696.1713,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105018632809,Is Single-Session Peroral Endoscopic Myotomy With Fundoplication Safe and Effective in Achalasia? A Systematic Review and Meta-Analysis,Kagzi Y.,Den Open,2026-04-01,10.1002/deo2.70220,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105017634872,Effects of wrist-hand orthosis on hand dysfunction in stroke patients: a meta-analysis,Feng G.,Chinese Journal of Tissue Engineering Research,2026-03-18,10.12307/2026.588,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105010177076,Effects of pulsed radiofrequency combined with ozone on zoster-associated pain: A systematic review and meta-analysis,Ding X.T.,Medical Gas Research,2026-03-01,10.4103/mgr.MEDGASRES-D-24-00150,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105010938065,Electroacupuncture for the treatment of ischemic stroke: A preclinical meta-analysis and systematic review,Yang G.,Neural Regeneration Research,2026-03-01,10.4103/NRR.NRR-D-24-01030,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105014808638,Data sharing in acupuncture meta-analyses: Associations with journal policies and practical considerations,Park J.,Integrative Medicine Research,2026-03-01,10.1016/j.imr.2025.101229,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105016890693,Mandibular symphysis dimensions among various craniofacial patterns: A systematic review and meta-analysis,Saood M.,International Orthodontics,2026-03-01,10.1016/j.ortho.2025.101065,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105018184881,"A systematic review, meta-analysis, and trial sequential analysis on association of circulating vascular cell adhesion molecule-1 (VCAM-1) levels in obstructive sleep apnea adults: A possible link between cardiovascular disease and obstructive sleep apnea",Imani M.M.,International Orthodontics,2026-03-01,10.1016/j.ortho.2025.101079,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105014541740,Effectiveness of herbal medicine as an add-on to antipsychotics in patients with schizophrenia spectrum disorders accompanied by depression: A systematic review and meta-analysis,Kwon C.Y.,Integrative Medicine Research,2026-03-01,10.1016/j.imr.2025.101224,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105010930357,Physical exercise improves physical function in burn patients: a systematic review and meta-analysis,Qiang C.,Chinese Journal of Tissue Engineering Research,2026-02-18,10.12307/2026.016,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105010876934,Effects of different neuromodulatory stimulation modalities on non-motor symptoms in Parkinson’s patients: a network meta-analysis,Xiaoxuan L.,Chinese Journal of Tissue Engineering Research,2026-02-18,10.12307/2026.032,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105010961439,Safety and efficacy of immunoadsorption therapy for rheumatoid arthritis: a network meta-analysis and systematic review,Zheng Y.,Chinese Journal of Tissue Engineering Research,2026-02-18,10.12307/2026.053,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105010917544,Effects of inflammation on serum hepcidin and iron metabolism related parameters in patients with type 2 diabetes mellitus: a meta-analysis,Xiaolong W.,Chinese Journal of Tissue Engineering Research,2026-02-18,10.12307/2026.043,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105008950928,Effects of resistance exercise therapy on pain and function in patients with cervical spondylotic radiculopathy: a meta-analysis,Li H.,Chinese Journal of Tissue Engineering Research,2026-02-08,10.12307/2026.529,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105008964969,Effect of exercise intervention in elderly individuals with sarcopenia and its comorbidities: a meta-analysis,Jiahe S.,Chinese Journal of Tissue Engineering Research,2026-02-08,10.12307/2026.019,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105009003666,Isometric exercise reduces resting blood pressure: a meta-analysis of moderating factors and dose effects,Yang J.,Chinese Journal of Tissue Engineering Research,2026-02-08,10.12307/2025.913,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105018968390,The mechanism of electroacupuncture treatment for post-stroke spasticity: A systematic review and Meta-analysis,You L.,Behavioural Brain Research,2026-02-04,10.1016/j.bbr.2025.115873,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105015091563,The effects of exercise intervention for restricted and repetitive behavior in children with autism spectrum disorder: A network meta-analysis,Wang K.,Journal of Behavioral and Cognitive Therapy,2026-02-01,10.1016/j.jbct.2025.100549,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105017096987,Comparative effects of social participation interventions for stroke survivors: a network meta-analysis using a social ecological model,Zhang H.,Annals of Physical and Rehabilitation Medicine,2026-02-01,10.1016/j.rehab.2025.102029,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105013985498,Congenital malaria in Nigeria: A systematic review and meta-analysis,Odeniran P.O.,Parasitology International,2026-02-01,10.1016/j.parint.2025.103147,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105017587771,Effects of omega-3 fatty acids on hyper-inflammatory response and clinical outcomes in critically ill patients: a meta-analysis,Liu T.,Intensive and Critical Care Nursing,2026-02-01,10.1016/j.iccn.2025.104228,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105018741945,Drivers of constructed wetland pollutant removal efficiency in China revisited by incorporating the impact of aridity – A meta-analysis,Huang L.,Ecological Engineering,2026-02-01,10.1016/j.ecoleng.2025.107822,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105011525665,Efficacy and safety of the kickstand rod technique for coronal malalignment correction in adult spinal deformity: A systematic review and meta-analysis,Artha K.Y.W.,Journal of Medicinal and Pharmaceutical Chemistry Research,2026-02-01,10.48309/jmpcr.2026.524967.1695,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105018631296,Digital and virtual reality–based rehabilitation versus conventional therapy for rotator cuff tears and post-repair recovery: a systematic review and meta-analysis,AlHossan A.M.,Jses Reviews Reports and Techniques,2026-02-01,10.1016/j.xrrt.2025.09.003,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105011968024,Effect of artificial intelligence in extracorporeal membrane oxygenation: a systematic review and meta-analysis,Chen S.,Intensive and Critical Care Nursing,2026-02-01,10.1016/j.iccn.2025.104165,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105018023073,School changes minds: A meta-analysis shows that schooling modestly improves children's executive functions,Donenfeld J.,Journal of Experimental Child Psychology,2026-02-01,10.1016/j.jecp.2025.106371,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105015204872,Authors reply: “Risk factors associated with acute kidney injury in patients with traumatic brain injury: A systematic review and meta-analysis”,Zhang Y.,Journal of Critical Care,2026-02-01,10.1016/j.jcrc.2025.155257,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105016180598,Impact of frontline employees’ perceived benefits of artificial intelligence on AI adoption and job engagement: A meta-analysis,Castaneda A.R.,International Journal of Hospitality Management,2026-02-01,10.1016/j.ijhm.2025.104446,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105017894123,Long non-coding RNA as a potential diagnostic biomarker in oral squamous cell carcinoma: A systematic review and meta-analysis,Liu X.,Journal of Stomatology Oral and Maxillofacial Surgery,2026-02-01,10.1016/j.jormas.2025.102581,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105014364680,Letter to the Editor: “Protective effect of intravenous amino acid on kidney function: A systematic review and meta-analysis of randomized controlled trials”,Gillis P.,Journal of Critical Care,2026-02-01,10.1016/j.jcrc.2025.155249,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105018314585,Effects of land-use change on soil total carbon pool: a meta-analysis,Ren Z.,Agriculture Ecosystems and Environment,2026-02-01,10.1016/j.agee.2025.110021,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105015965420,The effect of dexmedetomidine on clinical and management outcomes in patients with septic shock: A systematic review and meta-analysis of randomized trials,Alsagban A.,Journal of Critical Care,2026-02-01,10.1016/j.jcrc.2025.155251,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105017710386,Effectiveness of platelet-rich fibrin or platelet-rich plasma in mandibular fracture management: A systematic review and meta-analysis,Sivaramakrishnan G.,Journal of Stomatology Oral and Maxillofacial Surgery,2026-02-01,10.1016/j.jormas.2025.102544,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105015360373,Tree-crop combinations and their variable effects on agroecosystem services: A systematic review and meta-analysis of temperate silvoarable agroforestry in the Northern Hemisphere,Choden T.,Agriculture Ecosystems and Environment,2026-02-01,10.1016/j.agee.2025.109963,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105017699774,The effect of impaction on the mineralisation of third molars and forensic age estimation: A systematic review and meta-analysis,Balla S.B.,Forensic Science International,2026-02-01,10.1016/j.forsciint.2025.112650,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105015774527,More frequent precipitation during the maize growth period offsets the yield increasing effect of straw mulching in China: A meta-analysis,Tong X.,Soil and Tillage Research,2026-02-01,10.1016/j.still.2025.106870,0,0
true,https://api.elsevier.com/content/abstract/scopus_id/105018963317,Efficacy of non-invasive neuromodulation techniques on autism spectrum disorder: a network meta analysis,Shiai G.,Chinese Journal of Tissue Engineering Research,2026-04-08,10.12307/2026.649,,
true,https://api.elsevier.com/content/abstract/scopus_id/105018945576,Mesenchymal stem cells in treatment of arteriosclerosis obliterans of lower extremities: systematic review and meta-analysis,Zhenze W.,Chinese Journal of Tissue Engineering Research,2026-03-08,10.12307/2026.597,,
true,https://api.elsevier.com/content/abstract/scopus_id/105019064461,Oral bone regeneration and associated complications: A systematic review and meta-analysis,Gaudimier Z.,Journal of Stomatology Oral and Maxillofacial Surgery,2026-03-01,10.1016/j.jormas.2025.102606,,
true,https://api.elsevier.com/content/abstract/scopus_id/105019172526,Microplastics mineralization accelerates soil organic carbon decomposition by positive priming effects: A meta-analysis,Lai S.,Soil Ecology Letters,2026-02-01,10.1007/s42832-025-0367-2,,
